id_film,id_genre
1,2
1,24
1,23
2,12
2,22
3,2
3,24
3,8
4,20
4,9
4,22
5,11
5,17
5,6
6,2
7,2
7,17
7,8
8,12
8,24
8,8
9,12
9,17
10,2
10,20
10,6
11,2
11,20
11,6
12,2
12,8
12,19
13,24
13,13
14,14
15,2
15,12
15,6
15,3
16,8
17,2
17,8
18,11
18,6
19,2
19,20
19,10
21,11
21,17
21,6
21,1
22,17
22,20
22,7
23,8
24,2
24,19
24,6
25,8
26,2
27,6
27,1
28,2
28,20
28,19
29,20
29,24
30,11
30,6
31,2
31,8
32,8
32,19
33,20
33,19
34,12
34,24
34,8
35,2
35,19
35,6
35,13
36,14
37,2
37,8
39,12
39,17
39,6
39,13
40,2
40,17
40,13
41,17
42,24
42,8
43,2
43,20
43,19
44,17
44,15
45,12
45,20
45,22
46,2
46,17
46,20
47,20
47,8
47,19
48,12
48,24
49,24
50,2
50,17
50,20
51,2
51,7
52,17
52,15
53,2
53,12
53,24
53,13
54,2
54,12
54,19
55,2
55,6
56,2
56,17
56,6
57,2
57,12
57,6
57,13
58,2
58,12
58,6
59,2
59,7
59,13
60,11
60,2
60,3
61,23
61,13
63,23
63,13
64,2
64,6
65,20
66,14
67,15
67,20
67,22
68,20
68,8
69,15
69,20
70,20
70,24
71,20
72,15
72,18
73,5
73,11
73,2
73,17
75,2
75,12
75,24
76,2
76,12
76,23
76,13
77,2
78,20
78,14
79,20
80,2
80,24
81,15
81,22
82,20
82,8
83,24
83,8
84,2
84,12
84,6
84,4
85,24
85,8
86,12
86,6
87,2
87,12
87,24
88,19
89,8
90,20
90,8
91,2
92,24
93,2
93,17
94,17
94,15
94,21
95,15
96,20
96,8
96,19
97,17
98,11
98,6
98,13
99,17
99,15
99,20
99,22
100,20
101,2
101,20
101,8
102,18
102,23
103,2
103,12
103,20
103,3
104,20
105,11
105,12
105,17
105,6
105,13
106,15
106,20
107,17
107,20
108,18
108,20
108,13
109,15
109,21
110,8
110,6
111,2
111,6
112,17
112,22
113,20
114,12
114,6
115,17
115,8
115,6
116,20
117,17
117,20
118,17
118,15
118,21
119,2
119,20
119,6
120,20
121,2
122,17
122,20
122,22
123,24
123,8
124,15
124,21
125,2
125,17
125,6
126,11
126,1
126,3
127,20
128,20
128,13
128,22
129,15
129,13
130,2
130,12
130,8
131,2
131,24
131,19
131,13
132,2
132,24
133,12
133,24
134,2
134,12
134,24
135,2
135,17
136,17
137,19
138,2
138,20
138,7
139,2
139,12
139,24
140,12
140,20
140,24
140,13
141,2
141,24
142,2
143,2
143,12
143,24
143,6
144,2
144,20
145,20
145,8
146,17
146,20
147,24
148,2
148,8
149,8
149,1
151,2
151,8
151,19
151,13
152,15
152,13
152,22
153,2
153,12
154,2
154,25
155,18
155,3
156,2
156,18
157,8
158,6
158,1
158,3
159,2
159,17
159,15
159,13
160,15
160,20
161,15
161,20
162,24
163,2
163,6
163,13
164,19
164,25
165,2
165,24
165,19
166,15
166,20
166,13
167,17
167,24
167,13
168,20
169,2
169,15
170,17
170,15
170,8
171,11
171,17
171,6
171,13
172,20
172,1
173,17
173,20
173,10
174,20
174,8
174,19
175,17
176,2
176,20
176,6
177,2
177,19
177,13
178,17
178,15
179,20
179,8
180,2
180,18
180,20
180,23
181,2
181,7
181,19
181,13
182,20
183,20
183,24
184,8
185,20
185,7
186,20
187,24
187,8
188,8
188,13
189,7
189,14
190,11
191,15
191,20
192,15
192,20
193,15
193,20
193,9
194,17
194,21
195,11
196,12
196,15
196,20
197,2
197,17
197,15
198,24
199,24
200,17
200,15
201,15
201,20
202,24
203,13
204,15
204,20
205,2
205,8
206,2
206,6
207,12
207,15
207,20
208,24
210,24
211,11
211,1
212,24
212,8
213,12
213,17
214,18
214,20
