id_film,id_origin
1,14
2,1
3,1
4,1
5,1
6,6
7,1
8,1
9,14
10,7
11,1
12,5
12,6
13,5
14,4
15,1
16,1
17,1
18,1
19,10
20,10
21,1
22,1
23,2
24,1
25,1
26,14
27,1
28,1
29,4
30,4
31,1
32,14
33,7
34,1
35,1
36,1
37,10
38,7
39,5
39,6
40,5
40,6
41,7
42,1
43,11
44,14
45,2
46,7
47,1
48,1
49,14
50,2
51,7
52,7
53,1
54,1
55,1
56,15
56,1
57,1
58,1
59,1
60,1
61,5
61,1
62,1
63,5
63,1
64,5
64,4
65,14
66,7
67,11
68,5
68,6
69,3
70,1
71,4
72,7
73,14
74,1
75,2
76,6
76,3
77,14
78,1
79,14
80,1
81,14
82,1
83,5
84,1
85,2
86,1
87,1
88,11
89,1
90,1
91,1
92,1
93,6
94,14
95,5
96,2
97,14
98,1
99,4
100,1
101,2
102,5
103,5
104,4
105,1
106,8
107,1
108,7
109,5
110,7
111,1
112,5
113,1
114,5
115,1
116,14
117,1
118,14
119,2
120,1
121,1
122,2
123,1
124,14
125,1
126,14
127,10
128,7
129,5
130,2
131,7
132,1
133,1
134,1
135,5
136,6
137,7
138,1
139,1
140,1
141,1
142,1
143,1
144,5
144,6
145,1
146,10
146,1
147,7
148,2
149,7
150,7
151,1
152,1
153,1
154,7
155,5
156,7
157,1
158,15
158,10
158,1
159,5
160,3
161,5
162,5
163,1
164,1
165,2
165,1
166,5
167,5
168,8
168,4
169,11
170,5
170,9
170,6
171,2
172,7
173,10
173,1
174,1
175,1
176,1
177,5
177,6
178,5
178,7
179,11
180,5
180,6
181,1
182,1
183,1
184,1
185,2
186,14
187,1
188,6
189,1
190,5
191,1
192,10
193,1
194,14
195,2
196,5
196,6
197,1
198,1
199,2
200,1
201,2
202,1
203,5
204,1
205,1
206,1
207,7
208,1
209,11
210,1
211,5
212,1
213,1
214,7
215,7
216,1
217,1
218,5
219,7
220,7
221,1
222,1
223,4
224,1
225,1
226,10
226,1
227,1
228,5
229,7
230,5
231,1
232,3
233,14
234,1
235,1
236,1
237,1
238,1
239,1
240,5
241,1
242,1
243,1
244,1
245,5
245,6
246,1
247,5
247,9
248,5
248,7
249,6
250,7
252,5
253,1
254,5
255,5
255,1
256,1
257,1
258,1
